index,id,title,actors,director
37,68728,Oz: The Great and Powerful,James Franco Mila Kunis Rachel Weisz,Sam Raimi
38,102382,The Amazing Spider-Man 2,Andrew Garfield Emma Stone Jamie Foxx,Marc Webb
39,20526,TRON: Legacy,Garrett Hedlund Jeff Bridges Olivia Wilde,Joseph Kosinski
40,49013,Cars 2,Owen Wilson Larry the Cable Guy Michael Caine,John Lasseter
41,44912,Green Lantern,Ryan Reynolds Blake Lively Peter Sarsgaard,Martin Campbell
42,10193,Toy Story 3,Tom Hanks Tim Allen Ned Beatty,Lee Unkrich
43,534,Terminator Salvation,Christian Bale Sam Worthington Anton Yelchin,McG
44,168259,Furious 7,Vin Diesel Paul Walker Dwayne Johnson,James Wan
45,72190,World War Z,Brad Pitt Mireille Enos Abigail Hargrove,Marc Forster
46,127585,X-Men: Days of Future Past,Hugh Jackman James McAvoy Michael Fassbender,Bryan Singer
47,54138,Star Trek Into Darkness,Chris Pine Zachary Quinto Zoe Saldana,J.J. Abrams
48,81005,Jack the Giant Slayer,Nicholas Hoult Eleanor Tomlinson Ewan McGregor,Bryan Singer
49,64682,The Great Gatsby,Leonardo DiCaprio Tobey Maguire Carey Mulligan,Baz Luhrmann
50,9543,Prince of Persia: The Sands of Time,Jake Gyllenhaal Gemma Arterton Ben Kingsley,Mike Newell
51,68726,Pacific Rim,Idris Elba Charlie Hunnam Charlie Day,Guillermo del Toro
52,38356,Transformers: Dark of the Moon,Shia LaBeouf John Malkovich Ken Jeong,Michael Bay
53,217,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford Cate Blanchett Shia LaBeouf,Steven Spielberg
54,105864,The Good Dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright,Peter Sohn
55,62177,Brave,Kelly Macdonald Julie Walters Billy Connolly,Brenda Chapman
56,188927,Star Trek Beyond,Chris Pine Zachary Quinto Karl Urban,Justin Lin
57,10681,WALL·E,Ben Burtt Elissa Knight Jeff Garlin,Andrew Stanton
58,5174,Rush Hour 3,Chris Tucker Jackie Chan Hiroyuki Sanada,Brett Ratner
59,14161,2012,John Cusack Amanda Peet Chiwetel Ejiofor,Roland Emmerich
60,17979,A Christmas Carol,Gary Oldman Jim Carrey Steve Valentine,Robert Zemeckis
61,76757,Jupiter Ascending,Mila Kunis Channing Tatum Sean Bean,Lilly Wachowski
62,258489,The Legend of Tarzan,Alexander Skarsgård Margot Robbie Christoph Waltz,David Yates
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley Anna Popplewell Skandar Keynes,Andrew Adamson
64,246655,X-Men: Apocalypse,James McAvoy Michael Fassbender Jennifer Lawrence,Bryan Singer
65,155,The Dark Knight,Christian Bale Heath Ledger Aaron Eckhart,Christopher Nolan
66,14160,Up,Ed Asner Christopher Plummer Jordan Nagai,Pete Docter
67,15512,Monsters vs Aliens,Seth Rogen Reese Witherspoon Hugh Laurie,Conrad Vernon
68,1726,Iron Man,Robert Downey Jr. Terrence Howard Jeff Bridges,Jon Favreau
69,44826,Hugo,Ben Kingsley Sacha Baron Cohen Asa Butterfield,Martin Scorsese
70,8487,Wild Wild West,Will Smith Kevin Kline Kenneth Branagh,Barry Sonnenfeld
71,1735,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser Jet Li John Hannah,Rob Cohen
72,297761,Suicide Squad,Will Smith Margot Robbie Joel Kinnaman,David Ayer
73,2698,Evan Almighty,Steve Carell Lauren Graham John Goodman,Tom Shadyac
74,137113,Edge of Tomorrow,Tom Cruise Emily Blunt Brendan Gleeson,Doug Liman
75,9804,Waterworld,Kevin Costner Chaim Girafi Rick Aviles,Kevin Reynolds
76,14869,G.I. Joe: The Rise of Cobra,Dennis Quaid Channing Tatum Marlon Wayans,Stephen Sommers
77,150540,Inside Out,Amy Poehler Phyllis Smith Richard Kind,Pete Docter
78,278927,The Jungle Book,Neel Sethi Bill Murray Ben Kingsley,Jon Favreau
79,10138,Iron Man 2,Robert Downey Jr. Gwyneth Paltrow Don Cheadle,Jon Favreau
80,58595,Snow White and the Huntsman,Kristen Stewart Charlize Theron Chris Hemsworth,Rupert Sanders
81,102651,Maleficent,Angelina Jolie Elle Fanning Sharlto Copley,Robert Stromberg
82,119450,Dawn of the Planet of the Apes,Andy Serkis Jason Clarke Gary Oldman,Matt Reeves
83,79698,The Lovers,Josh Hartnett Simone Kessell Tamsin Egerton,Roland Joffé
84,64686,47 Ronin,Keanu Reeves Hiroyuki Sanada Kou Shibasaki,Carl Rinsch
85,100402,Captain America: The Winter Soldier,Chris Evans Samuel L. Jackson Scarlett Johansson,Anthony Russo
86,10192,Shrek Forever After,Mike Myers Eddie Murphy Cameron Diaz,Mike Mitchell
87,158852,Tomorrowland,Britt Robertson George Clooney Raffey Cassidy,Brad Bird
88,177572,Big Hero 6,Scott Adsit Ryan Potter Daniel Henney,Chris Williams
89,82690,Wreck-It Ralph,John C. Reilly Sarah Silverman Jack McBrayer,Rich Moore
90,5255,The Polar Express,Tom Hanks Michael Jeter Nona Gaye,Robert Zemeckis
91,47933,Independence Day: Resurgence,Liam Hemsworth Jeff Goldblum Bill Pullman,Roland Emmerich
92,10191,How to Train Your Dragon,Jay Baruchel Gerard Butler Craig Ferguson,Chris Sanders
93,296,Terminator 3: Rise of the Machines,Arnold Schwarzenegger Nick Stahl Claire Danes,Jonathan Mostow
94,118340,Guardians of the Galaxy,Chris Pratt Zoe Saldana Dave Bautista,James Gunn
95,157336,Interstellar,Matthew McConaughey Jessica Chastain Anne Hathaway,Christopher Nolan
96,27205,Inception,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page,Christopher Nolan
97,315011,Shin Godzilla,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara,Hideaki Anno
98,49051,The Hobbit: An Unexpected Journey,Ian McKellen Martin Freeman Richard Armitage,Peter Jackson
99,9799,The Fast and the Furious,Paul Walker Vin Diesel Michelle Rodriguez,Rob Cohen
100,4922,The Curious Case of Benjamin Button,Cate Blanchett Brad Pitt Tilda Swinton,David Fincher
101,49538,X-Men: First Class,James McAvoy Michael Fassbender Jennifer Lawrence,Matthew Vaughn
102,131634,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Francis Lawrence
103,27022,The Sorcerer's Apprentice,Nicolas Cage Jay Baruchel Monica Bellucci,Jon Turteltaub
104,503,Poseidon,Kurt Russell Richard Dreyfuss Josh Lucas,Wolfgang Petersen
105,241259,Alice Through the Looking Glass,Johnny Depp Mia Wasikowska Anne Hathaway,James Bobin
106,810,Shrek the Third,Mike Myers Eddie Murphy Cameron Diaz,Chris Miller
107,68735,Warcraft,Paula Patton Travis Fimmel Ben Foster,Duncan Jones
108,87101,Terminator Genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke,Alan Taylor
109,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes Georgie Henley Simon Pegg,Michael Apted
110,676,Pearl Harbor,Ben Affleck Josh Hartnett Kate Beckinsale,Michael Bay
111,1858,Transformers,Shia LaBeouf Josh Duhamel Megan Fox,Michael Bay
112,1966,Alexander,Colin Farrell Angelina Jolie Val Kilmer,Oliver Stone
113,675,Harry Potter and the Order of the Phoenix,Daniel Radcliffe Rupert Grint Emma Watson,David Yates
114,674,Harry Potter and the Goblet of Fire,Daniel Radcliffe Rupert Grint Emma Watson,Mike Newell
115,8960,Hancock,Will Smith Charlize Theron Jason Bateman,Peter Berg
116,6479,I Am Legend,Will Smith Alice Braga Charlie Tahan,Francis Lawrence
117,118,Charlie and the Chocolate Factory,Johnny Depp Freddie Highmore David Kelly,Tim Burton
118,2062,Ratatouille,Patton Oswalt Ian Holm Lou Romano,Jan Pinkava
119,272,Batman Begins,Christian Bale Michael Caine Liam Neeson,Christopher Nolan
120,10527,Madagascar: Escape 2 Africa,Ben Stiller Jada Pinkett Smith David Schwimmer,Eric Darnell
121,18360,Night at the Museum: Battle of the Smithsonian,Ben Stiller Amy Adams Owen Wilson,Shawn Levy
122,2080,X-Men Origins: Wolverine,Hugh Jackman Liev Schreiber Danny Huston,Gavin Hood
123,605,The Matrix Revolutions,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lilly Wachowski
124,109445,Frozen,Kristen Bell Idina Menzel Jonathan Groff,Chris Buck
125,604,The Matrix Reloaded,Keanu Reeves Carrie-Anne Moss Laurence Fishburne,Lilly Wachowski
126,76338,Thor: The Dark World,Chris Hemsworth Natalie Portman Tom Hiddleston,Alan Taylor
127,76341,Mad Max: Fury Road,Tom Hardy Charlize Theron Nicholas Hoult,George Miller
128,13448,Angels & Demons,Tom Hanks Ewan McGregor Ayelet Zurer,Ron Howard
129,10195,Thor,Chris Hemsworth Natalie Portman Tom Hiddleston,Kenneth Branagh
130,13053,Bolt,John Travolta Miley Cyrus Susie Essman,Chris Williams
131,19585,G-Force,Sam Rockwell Penélope Cruz Tracy Morgan,Hoyt Yeatman
132,57165,Wrath of the Titans,Sam Worthington Liam Neeson Ralph Fiennes,Jonathan Liebesman
133,62213,Dark Shadows,Johnny Depp Michelle Pfeiffer Helena Bonham Carter,Tim Burton
134,177677,Mission: Impossible - Rogue Nation,Tom Cruise Rebecca Ferguson Simon Pegg,Christopher McQuarrie
135,7978,The Wolfman,Benicio del Toro Anthony Hopkins Emily Blunt,Joe Johnston
136,5559,Bee Movie,Jerry Seinfeld Renée Zellweger Jim Cummings,Steve Hickner
137,49444,Kung Fu Panda 2,Jack Black Angelina Jolie Dustin Hoffman,Jennifer Yuh Nelson
138,10196,The Last Airbender,Noah Ringer Nicola Peltz Jackson Rathbone,M. Night Shyamalan
139,956,Mission: Impossible III,Tom Cruise Philip Seymour Hoffman Ving Rhames,J.J. Abrams
140,117251,White House Down,Channing Tatum Jamie Foxx Joey King,Roland Emmerich
141,50321,Mars Needs Moms,Seth Green Joan Cusack Dan Fogler,Simon Wells
142,11619,Flushed Away,Hugh Jackman Kate Winslet Ian McKellen,David Bowers
143,266647,Pan,Levi Miller Garrett Hedlund Hugh Jackman,Joe Wright
144,82703,Mr. Peabody & Sherman,Ty Burrell Max Charles Ariel Winter,Rob Minkoff
145,652,Troy,Brad Pitt Orlando Bloom Eric Bana,Wolfgang Petersen
146,80321,Madagascar 3: Europe's Most Wanted,Ben Stiller Sacha Baron Cohen David Schwimmer,Conrad Vernon
147,36669,Die Another Day,Pierce Brosnan Halle Berry Rosamund Pike,Lee Tamahori
148,43074,Ghostbusters,Melissa McCarthy Kristen Wiig Kate McKinnon,Paul Feig
149,95,Armageddon,Bruce Willis Billy Bob Thornton Ben Affleck,Michael Bay
150,608,Men in Black II,Tommy Lee Jones Will Smith Rip Torn,Barry Sonnenfeld
151,2310,Beowulf,Ray Winstone Angelina Jolie Anthony Hopkins,Robert Zemeckis
152,140300,Kung Fu Panda 3,Jack Black Bryan Cranston Dustin Hoffman,Jennifer Yuh Nelson
153,56292,Mission: Impossible - Ghost Protocol,Tom Cruise Jeremy Renner Simon Pegg,Brad Bird
154,81188,Rise of the Guardians,Chris Pine Alec Baldwin Jude Law,Peter Ramsey
155,7552,Fun with Dick and Jane,Jim Carrey Téa Leoni Alec Baldwin,Dean Parisot
156,616,The Last Samurai,Tom Cruise Ken Watanabe William Atherton,Edward Zwick
157,147441,Exodus: Gods and Kings,Christian Bale Joel Edgerton John Turturro,Ridley Scott
158,13475,Star Trek,Chris Pine Zachary Quinto Leonard Nimoy,J.J. Abrams
159,557,Spider-Man,Tobey Maguire Willem Dafoe Kirsten Dunst,Sam Raimi
160,82702,How to Train Your Dragon 2,Jay Baruchel Gerard Butler Kristen Wiig,Dean DeBlois
161,205584,Gods of Egypt,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler,Alex Proyas
162,10048,Stealth,Josh Lucas Jessica Biel Jamie Foxx,Rob Cohen
163,13183,Watchmen,Malin Åkerman Billy Crudup Carla Gugino,Zack Snyder
164,944,Lethal Weapon 4,Mel Gibson Danny Glover Joe Pesci,Richard Donner
165,1927,Hulk,Eric Bana Jennifer Connelly Sam Elliott,Ang Lee
166,72559,G.I. Joe: Retaliation,Dwayne Johnson D.J. Cotrona Adrianne Palicki,Jon M. Chu
167,7364,Sahara,Matthew McConaughey Penélope Cruz Steve Zahn,Breck Eisner
168,2114,Final Fantasy: The Spirits Within,Donald Sutherland Ming-Na Wen Alec Baldwin,Hironobu Sakaguchi
169,1771,Captain America: The First Avenger,Chris Evans Hugo Weaving Tommy Lee Jones,Joe Johnston
170,36643,The World Is Not Enough,Pierce Brosnan Sophie Marceau Robert Carlyle,Michael Apted
171,8619,Master and Commander: The Far Side of the World,Russell Crowe Paul Bettany James D'Arcy,Peter Weir
172,50620,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart Robert Pattinson Taylor Lautner,Bill Condon
173,65759,Happy Feet Two,Elijah Wood Robin Williams Pink,George Miller
174,1724,The Incredible Hulk,Edward Norton Liv Tyler Tim Roth,Louis Leterrier
175,267935,The BFG,Ruby Barnhill Mark Rylance Rebecca Hall,Steven Spielberg
176,281957,The Revenant,Leonardo DiCaprio Tom Hardy Will Poulter,Alejandro González Iñárritu
177,77950,Turbo,Ryan Reynolds Paul Giamatti Michael Peña,David Soren
178,44896,Rango,Johnny Depp Isla Fisher Ned Beatty,Gore Verbinski
179,270946,Penguins of Madagascar,Tom McGrath Chris Miller Christopher Knights,Eric Darnell
180,2503,The Bourne Ultimatum,Matt Damon Julia Stiles David Strathairn,Paul Greengrass
181,9502,Kung Fu Panda,Jack Black Dustin Hoffman Angelina Jolie,Mark Osborne
182,102899,Ant-Man,Paul Rudd Michael Douglas Evangeline Lilly,Peyton Reed
183,101299,The Hunger Games: Catching Fire,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Francis Lawrence
184,228161,Home,Jim Parsons Rihanna Steve Martin,Tim Johnson
185,74,War of the Worlds,Tom Cruise Dakota Fanning Miranda Otto,Steven Spielberg
186,8961,Bad Boys II,Martin Lawrence Will Smith Jordi Mollà,Michael Bay
188,27576,Salt,Angelina Jolie Liev Schreiber Chiwetel Ejiofor,Phillip Noyce
189,86834,Noah,Russell Crowe Jennifer Connelly Emma Watson,Darren Aronofsky
190,17578,The Adventures of Tintin,Jamie Bell Andy Serkis Daniel Craig,Steven Spielberg
191,673,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe Rupert Grint Emma Watson,Alfonso Cuarón
192,6972,Australia,Nicole Kidman Hugh Jackman Essie Davis,Baz Luhrmann
193,82700,After Earth,Jaden Smith Will Smith Sophie Okonedo,M. Night Shyamalan
194,10567,Dinosaur,D. B. Sweeney Alfre Woodard Ossie Davis,Ralph Zondag
195,181533,Night at the Museum: Secret of the Tomb,Ben Stiller Rami Malek Rebel Wilson,Shawn Levy
196,38055,Megamind,Will Ferrell Brad Pitt Tina Fey,Tom McGrath
197,671,Harry Potter and the Philosopher's Stone,Daniel Radcliffe Rupert Grint Emma Watson,Chris Columbus
198,49524,R.I.P.D.,Jeff Bridges Ryan Reynolds Kevin Bacon,Robert Schwentke
199,22,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp Geoffrey Rush Orlando Bloom,Gore Verbinski
200,131631,The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Francis Lawrence
201,591,The Da Vinci Code,Tom Hanks Audrey Tautou Ian McKellen,Ron Howard
202,172385,Rio 2,Jesse Eisenberg Anne Hathaway Leslie Mann,Carlos Saldanha
203,36658,X2,Patrick Stewart Hugh Jackman Ian McKellen,Bryan Singer
204,51497,Fast Five,Vin Diesel Paul Walker Jordana Brewster,Justin Lin
205,58574,Sherlock Holmes: A Game of Shadows,Robert Downey Jr. Jude Law Jared Harris,Guy Ritchie
206,18823,Clash of the Titans,Sam Worthington Liam Neeson Ralph Fiennes,Louis Leterrier
207,861,Total Recall,Arnold Schwarzenegger Sharon Stone Rachel Ticotin,Paul Verhoeven
208,1911,The 13th Warrior,Antonio Banderas Vladimir Kulich Dennis Storhøi,John McTiernan
209,49040,The Bourne Legacy,Jeremy Renner Rachel Weisz Edward Norton,Tony Gilroy
210,415,Batman & Robin,George Clooney Chris O'Donnell Arnold Schwarzenegger,Joel Schumacher
211,8871,How the Grinch Stole Christmas,Jim Carrey Taylor Momsen Jeffrey Tambor,Ron Howard
212,435,The Day After Tomorrow,Dennis Quaid Jake Gyllenhaal Emmy Rossum,Roland Emmerich
213,955,Mission: Impossible II,Tom Cruise Dougray Scott Thandie Newton,John Woo
214,2133,The Perfect Storm,George Clooney Mark Wahlberg Diane Lane,Wolfgang Petersen
215,1979,Fantastic 4: Rise of the Silver Surfer,Ioan Gruffudd Jessica Alba Chris Evans,Tim Story
216,87827,Life of Pi,Suraj Sharma Irrfan Khan Ayush Tandon,Ang Lee
217,1250,Ghost Rider,Nicolas Cage Eva Mendes Wes Bentley,Mark Steven Johnson
218,324668,Jason Bourne,Matt Damon Alicia Vikander Tommy Lee Jones,Paul Greengrass
219,9471,Charlie's Angels: Full Throttle,Cameron Diaz Drew Barrymore Lucy Liu,McG
220,70981,Prometheus,Noomi Rapace Michael Fassbender Guy Pearce,Ridley Scott
221,10996,Stuart Little 2,Michael J. Fox Geena Davis Hugh Laurie,Rob Minkoff
222,68724,Elysium,Matt Damon Jodie Foster Sharlto Copley,Neill Blomkamp
223,2789,The Chronicles of Riddick,Vin Diesel Thandie Newton Karl Urban,David Twohy
224,97020,RoboCop,Joel Kinnaman Gary Oldman Michael Keaton,José Padilha
225,7459,Speed Racer,Emile Hirsch Christina Ricci Matthew Fox,Lilly Wachowski
226,42888,How Do You Know,Reese Witherspoon Paul Rudd Owen Wilson,James L. Brooks
227,37834,Knight and Day,Tom Cruise Cameron Diaz Peter Sarsgaard,James Mangold
228,75612,Oblivion,Tom Cruise Morgan Freeman Olga Kurylenko,Joseph Kosinski
229,1895,Star Wars: Episode III - Revenge of the Sith,Ewan McGregor Natalie Portman Hayden Christensen,George Lucas
230,1894,Star Wars: Episode II - Attack of the Clones,Ewan McGregor Natalie Portman Hayden Christensen,George Lucas
231,585,"Monsters, Inc.",John Goodman Billy Crystal Mary Gibbs,Pete Docter
232,76170,The Wolverine,Hugh Jackman Hiroyuki Sanada Famke Janssen,James Mangold
233,1893,Star Wars: Episode I - The Phantom Menace,Liam Neeson Ewan McGregor Natalie Portman,George Lucas
234,49519,The Croods,Nicolas Cage Emma Stone Ryan Reynolds,Chris Sanders
235,2395,Asterix at the Olympic Games,Clovis Cornillac Gérard Depardieu Franck Dubosc,Thomas Langmann
236,12100,Windtalkers,Nicolas Cage Adam Beach Peter Stormare,John Woo
237,290595,The Huntsman: Winter's War,Chris Hemsworth Charlize Theron Emily Blunt,Cedric Nicolas-Troyan
238,98566,Teenage Mutant Ninja Turtles,Megan Fox Will Arnett William Fichtner,Jonathan Liebesman
239,49047,Gravity,Sandra Bullock George Clooney Ed Harris,Alfonso Cuarón
240,9619,Dante's Peak,Pierce Brosnan Linda Hamilton Jamie Renée Smith,Roger Donaldson
241,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,Megan Fox Stephen Amell Will Arnett,Dave Green
242,166424,Fantastic Four,Miles Teller Kate Mara Michael B. Jordan,Josh Trank
243,1593,Night at the Museum,Ben Stiller Jake Cherry Carla Gugino,Shawn Levy
244,254128,San Andreas,Dwayne Johnson Alexandra Daddario Carla Gugino,Brad Peyton
245,714,Tomorrow Never Dies,Pierce Brosnan Jonathan Pryce Michelle Yeoh,Roger Spottiswoode
246,2024,The Patriot,Mel Gibson Heath Ledger Joely Richardson,Roland Emmerich
247,163,Ocean's Twelve,George Clooney Brad Pitt Catherine Zeta-Jones,Steven Soderbergh
248,787,Mr. & Mrs. Smith,Angelina Jolie Brad Pitt Vince Vaughn,Doug Liman
249,262500,Insurgent,Shailene Woodley Theo James Kate Winslet,Robert Schwentke
250,2567,The Aviator,Leonardo DiCaprio Cate Blanchett Kate Beckinsale,Martin Scorsese
251,38745,Gulliver's Travels,Jack Black Amanda Peet Emily Blunt,Rob Letterman
252,40805,The Green Hornet,Seth Rogen Jay Chou Christoph Waltz,Michel Gondry
253,53182,300: Rise of an Empire,Sullivan Stapleton Eva Green Lena Headey,Noam Murro
254,41513,The Smurfs,Hank Azaria Neil Patrick Harris Jayma Mays,Raja Gosnell
257,39254,Real Steel,Hugh Jackman Dakota Goyo Evangeline Lilly,Shawn Levy
258,77931,The Smurfs 2,Hank Azaria Neil Patrick Harris Brendan Gleeson,Raja Gosnell
259,1639,Speed 2: Cruise Control,Sandra Bullock Jason Patric Willem Dafoe,Jan de Bont
260,80274,Ender's Game,Asa Butterfield Harrison Ford Hailee Steinfeld,Gavin Hood
261,1571,Live Free or Die Hard,Bruce Willis Justin Long Timothy Olyphant,Len Wiseman
262,120,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood Ian McKellen Cate Blanchett,Peter Jackson
263,10204,Around the World in 80 Days,Jackie Chan Steve Coogan Cécile de France,Frank Coraci
264,8489,Ali,Will Smith Jamie Foxx Jon Voight,Michael Mann
265,10588,The Cat in the Hat,Mike Myers Dakota Fanning Spencer Breslin,Bo Welch
266,2048,"I, Robot",Will Smith Bridget Moynahan Alan Tudyk,Alex Proyas
267,1495,Kingdom of Heaven,Orlando Bloom Eva Green Jeremy Irons,Ridley Scott
268,10137,Stuart Little,Michael J. Fox Geena Davis Hugh Laurie,Rob Minkoff
269,10198,The Princess and the Frog,Anika Noni Rose Bruno Campos Keith David,Ron Clements
270,286217,The Martian,Matt Damon Jessica Chastain Kristen Wiig,Ridley Scott
271,1635,The Island,Ewan McGregor Scarlett Johansson Djimon Hounsou,Michael Bay
272,24113,Town & Country,Warren Beatty Diane Keaton Goldie Hawn,Peter Chelsom
273,9679,Gone in Sixty Seconds,Nicolas Cage Angelina Jolie Giovanni Ribisi,Dominic Sena
274,98,Gladiator,Russell Crowe Joaquin Phoenix Connie Nielsen,Ridley Scott
275,180,Minority Report,Tom Cruise Colin Farrell Samantha Morton,Steven Spielberg
276,672,Harry Potter and the Chamber of Secrets,Daniel Radcliffe Rupert Grint Emma Watson,Chris Columbus
277,36557,Casino Royale,Daniel Craig Eva Green Mads Mikkelsen,Martin Campbell
278,869,Planet of the Apes,Mark Wahlberg Tim Roth Helena Bonham Carter,Tim Burton
279,280,Terminator 2: Judgment Day,Arnold Schwarzenegger Linda Hamilton Robert Patrick,James Cameron
280,11322,Public Enemies,Christian Bale Johnny Depp Giovanni Ribisi,Michael Mann
281,4982,American Gangster,Denzel Washington Russell Crowe Chiwetel Ejiofor,Ridley Scott
282,36955,True Lies,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold,James Cameron
283,18487,The Taking of Pelham 1 2 3,Denzel Washington John Travolta Luis Guzmán,Tony Scott
284,39451,Little Fockers,Robert De Niro Ben Stiller Owen Wilson,Paul Weitz
285,27581,The Other Guys,Will Ferrell Mark Wahlberg Eva Mendes,Adam McKay
286,9268,Eraser,Arnold Schwarzenegger James Caan Vanessa Williams,Chuck Russell
287,68718,Django Unchained,Jamie Foxx Christoph Waltz Leonardo DiCaprio,Quentin Tarantino
288,10545,The Hunchback of Notre Dame,Tom Hulce Demi Moore Tony Jay,Gary Trousdale
289,11688,The Emperor's New Groove,David Spade John Goodman Eartha Kitt,Mark Dindal
290,76163,The Expendables 2,Sylvester Stallone Jason Statham Dolph Lundgren,Simon West
291,2059,National Treasure,Nicolas Cage Diane Kruger Justin Bartha,Jon Turteltaub
292,2486,Eragon,Ed Speleers Jeremy Irons Sienna Guillory,Stefen Fangmeier
293,16523,Where the Wild Things Are,Max Records Catherine Keener Lauren Ambrose,Spike Jonze
294,116711,Epic,Josh Hutcherson Amanda Seyfried Colin Farrell,Chris Wedge
295,37710,The Tourist,Johnny Depp Angelina Jolie Paul Bettany,Florian Henckel von Donnersmarck
296,9946,End of Days,Arnold Schwarzenegger Gabriel Byrne Kevin Pollak,Peter Hyams
297,1372,Blood Diamond,Leonardo DiCaprio Djimon Hounsou Jennifer Connelly,Edward Zwick
298,106646,The Wolf of Wall Street,Leonardo DiCaprio Jonah Hill Margot Robbie,Martin Scorsese
299,414,Batman Forever,Val Kilmer Tommy Lee Jones Jim Carrey,Joel Schumacher
